"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5302","Тест успешного перехода на главную страницу Дзена при нажатии на логотип Яндекса","test","Thu Jun 05 12:38:48 EDT 2025","passed","Thu Jun 05 12:38:54 EDT 2025","TestOrderingScooter","test_ordering_scooter","",""
"","268","Тест на проверку соответствия полученного текста ответов соответствующим вопросам","test","Thu Jun 05 12:38:24 EDT 2025","passed","Thu Jun 05 12:38:25 EDT 2025","TestsImportantQuestions","test_important_questions","",""
"","262","Тест на проверку соответствия полученного текста ответов соответствующим вопросам","test","Thu Jun 05 12:38:24 EDT 2025","passed","Thu Jun 05 12:38:24 EDT 2025","TestsImportantQuestions","test_important_questions","",""
"","282","Тест на проверку соответствия полученного текста ответов соответствующим вопросам","test","Thu Jun 05 12:38:24 EDT 2025","passed","Thu Jun 05 12:38:24 EDT 2025","TestsImportantQuestions","test_important_questions","",""
"","544","Тест успешного перехода на главную страницу при нажатии на логотип «Самоката»","test","Thu Jun 05 12:38:48 EDT 2025","passed","Thu Jun 05 12:38:48 EDT 2025","TestOrderingScooter","test_ordering_scooter","",""
"","255","Тест на проверку соответствия полученного текста ответов соответствующим вопросам","test","Thu Jun 05 12:38:25 EDT 2025","passed","Thu Jun 05 12:38:25 EDT 2025","TestsImportantQuestions","test_important_questions","",""
"","7882","Тест успешного заказа самоката при нажатии кнопки ""Заказать"" вверху главной страницы","test","Thu Jun 05 12:38:36 EDT 2025","passed","Thu Jun 05 12:38:44 EDT 2025","TestOrderingScooter","test_ordering_scooter","",""
"","4104","Тест успешного заказа самоката при нажатии кнопки ""Заказать"" внизу главной страницы","test","Thu Jun 05 12:38:44 EDT 2025","passed","Thu Jun 05 12:38:48 EDT 2025","TestOrderingScooter","test_ordering_scooter","",""
"","263","Тест на проверку соответствия полученного текста ответов соответствующим вопросам","test","Thu Jun 05 12:38:25 EDT 2025","passed","Thu Jun 05 12:38:26 EDT 2025","TestsImportantQuestions","test_important_questions","",""
"","285","Тест на проверку соответствия полученного текста ответов соответствующим вопросам","test","Thu Jun 05 12:38:26 EDT 2025","passed","Thu Jun 05 12:38:26 EDT 2025","TestsImportantQuestions","test_important_questions","",""
"","255","Тест на проверку соответствия полученного текста ответов соответствующим вопросам","test","Thu Jun 05 12:38:25 EDT 2025","passed","Thu Jun 05 12:38:25 EDT 2025","TestsImportantQuestions","test_important_questions","",""
"","257","Тест на проверку соответствия полученного текста ответов соответствующим вопросам","test","Thu Jun 05 12:38:25 EDT 2025","passed","Thu Jun 05 12:38:25 EDT 2025","TestsImportantQuestions","test_important_questions","",""
